Day of Month,Flip Flop Flap Delegate LLC,ultraschuppi,Feedblack Loops LLC,MakerMan,monetsupply,Gauntlet,GFX Labs,"Field Technologies, Inc.",JustinCase
01/11/2021,23903.23155,33.00006667,10102.25915,5061.747958,5139.344565,0,0,8511.074392,0
02/11/2021,23903.23155,33.00006667,10102.25915,5061.747958,5139.344565,0,0,8511.074392,0
03/11/2021,23903.23155,33.00006667,10102.26015,5061.747958,5139.344565,0,0,8511.074392,0
04/11/2021,23903.23155,50.27138286,10102.26015,5061.747958,5139.344565,0,0,8511.074392,0
05/11/2021,24243.02322,50.27138286,10102.26015,5061.747958,5139.344565,0,0,8511.074392,0
06/11/2021,24243.02322,50.27138286,10102.26015,5061.747958,5139.344565,0,0,8511.074392,0
07/11/2021,24243.02322,50.27138286,10102.26015,5061.747958,5039.344565,0,0,8511.074392,0
08/11/2021,24243.02322,50.27138286,10102.26015,5061.747958,5039.344565,0,0,8511.074392,0
09/11/2021,24243.02322,50.27138286,10102.26015,5061.747958,5039.344565,0,0,8511.074392,0
10/11/2021,24243.02322,50.27138286,10102.26015,5061.747958,5039.344565,0,0,8506.428411,0
11/11/2021,24243.02322,50.27138286,10102.26015,5061.747958,5039.344565,0,0,8506.428411,0
12/11/2021,24243.02322,50.27138286,10102.26015,5071.154775,5039.344565,0,0,8506.428411,0
13/11/2021,32868.60966,20050.27138,10102.26015,5071.154775,5039.344565,0,0,8506.428411,0
14/11/2021,32868.60966,20150.30456,10102.26015,5071.154775,5039.344565,0,0,8506.428411,0
15/11/2021,32868.60966,20100.30456,10102.26015,5071.154775,5039.344565,0,0,8506.428411,0
16/11/2021,32868.60966,20203.61826,10102.26015,5071.154775,5039.344565,0,0,8506.428411,0
17/11/2021,32868.60966,20203.61826,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,0
18/11/2021,32868.60966,20203.61826,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,0
19/11/2021,32868.60966,20203.61826,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,0
20/11/2021,32868.60966,20206.93022,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,0
21/11/2021,32868.60966,20206.93022,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,0
22/11/2021,32868.60966,20283.58392,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,0
23/11/2021,32868.60966,20283.58392,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,0
24/11/2021,32868.60966,20283.58392,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,0
25/11/2021,32868.60966,20283.58392,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,34.2567735
26/11/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,34.2567735
27/11/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,34.2567735
28/11/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,34.2567735
29/11/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,34.2567735
30/11/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,5.021223,8506.428411,34.2567735
Average,10000,7837.015518,10000,5067.705609,5059.344565,3000,5.021223,8510.609794,34.2567735
