Delegate,Participation %,Communication %,Average MKR for month,Adjusted MKR,Theoretical Monthly Comp,Days (if Pro-rata),Final Monthly Sum,Annualised
Flip Flop Flap Delegate LLC,100,100,10000,100,12000,,12000,144000
ultraschuppi,100,100,7837.015518,88.52691974,10623.23,23,8144.48,97733.72
Feedblack Loops LLC,90.1,98.35,10000,100,12000,,12000,144000
MakerMan,89.13,92.07,5067.705609,71.18781924,8542.54,,0,0
monetsupply,71.43,78.26,5059.344565,71.12906976,8535.49,,0,0
Gauntlet,0,0,3000,54.77225575,6572.67,9,0,0
GFX Labs,100,100,5.021223,2.240808559,268.9,9,80.67,968.03
"Field Technologies, Inc.",97.22,95,8510.609794,92.25296632,11070.36,10,3690.12,44281.42
JustinCase,100,100,34.2567735,5.852928626,702.35,2,46.82,561.88
,,,,,,,,
Total,,,49479.69671,,69613.18,,35915.26,430983.17
