Day of Month,Flip Flop Flap Delegate LLC,ultraschuppi,Feedblack Loops LLC,MakerMan,monetsupply,Gauntlet,GFX Labs,JustinCase,ACREinvest
01/12/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,24.445423,9.056773499,0
02/12/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,24.445423,9.056773499,0
03/12/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,24.445423,9.056773499,0
04/12/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,24.445423,9.056773499,0
05/12/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,24.445423,9.056773499,0
06/12/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,24.445423,9.056773499,0
07/12/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,24.445423,9.056773499,0
08/12/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,24.445423,9.056773499,0
09/12/2021,32860.60876,20283.58392,10102.26015,5071.154775,5039.344565,3000,24.445423,9.056773499,0
10/12/2021,32860.60876,20283.58392,10102.26015,5031.024877,5039.344565,3000,24.445423,49.0567735,0
11/12/2021,32860.60876,20283.58392,10102.26015,5031.024877,5039.344565,3000,24.445423,49.0567735,0
12/12/2021,32879.60876,20283.58392,10102.26015,5031.024877,5039.344565,3000,24.445423,49.0567735,0
13/12/2021,32879.60876,20283.58392,10102.26015,5031.024877,5039.344565,3000,27.77239584,49.0567735,0
14/12/2021,32879.60876,20283.58392,10102.26015,5031.024877,5039.344565,3000,27.77239584,49.0567735,1000
15/12/2021,32879.60876,20283.58392,10102.26015,5031.024877,5039.344565,3000,27.77239584,49.0567735,1000
16/12/2021,32879.60876,20283.58392,10102.26015,5031.024877,5039.344565,3000,27.77239584,49.0567735,1000
17/12/2021,32879.60876,20340.2835,10102.26015,5031.024877,5039.344565,3000,27.77239584,49.0567735,1000
18/12/2021,32879.60876,20340.2835,10102.26015,5231.024877,5039.344565,3000,27.77239584,49.0567735,1000
19/12/2021,32879.60876,20340.2835,10102.26015,5231.024877,5039.344565,3000,27.77239584,49.0567735,1000
20/12/2021,32879.60876,20236.9698,10102.26015,5231.024877,5040.382396,3000,27.77239584,49.0567735,1000
21/12/2021,32879.60876,20236.9698,10102.26015,5231.024877,5043.673187,3000,27.77239584,49.0567735,1000
22/12/2021,32879.60876,20236.9698,10102.26015,5231.024877,5043.673187,3000,27.77239584,49.0567735,1000
23/12/2021,32879.60876,20236.9698,10102.26015,5231.024877,5043.673187,3000,27.77239584,49.0567735,1000
24/12/2021,32879.60876,20236.99353,10102.26015,5231.024877,5043.673187,3000,27.77239584,49.0567735,1000
25/12/2021,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,27.77239584,49.0567735,1000
26/12/2021,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,27.77239584,54.04476354,1000
27/12/2021,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,27.77239584,54.04476354,1000
28/12/2021,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,27.77239584,54.04476354,1000
29/12/2021,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,27.77239584,54.04476354,1000
30/12/2021,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,27.77239584,54.04476354,1000
31/12/2021,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,27.77239584,54.04476354,1000
,,,,,,,,,
Average (Max 10k),10000,10000,10000,5132.998073,5040.914006,3000,26.48453538,38.4092877,1000
