Delegate,Participation %,Communication %,Average MKR for month,Adjusted MKR,Theoretical Monthly Comp,Days (if Pro-rata),Metrics Modifier,Final Monthly Sum,Annualised
Flip Flop Flap Delegate LLC,100,100,"10,000.00",100,"12,000.00",,100.00%,"12,000","144,000"
ultraschuppi,100,100,"10,000.00",100,"12,000.00",,100.00%,"12,000","144,000"
Feedblack Loops LLC,90.91,98.5,"10,000.00",100,"12,000.00",,100.00%,"12,000","144,000"
MakerMan,90.1,92.86,"5,133.00",71.64,"8,597.39",,100.00%,"8,597","103,164"
monetsupply,73.83,79.75,"5,040.91",71,"8,519.93",,0.00%,0,0
Gauntlet,33.33,100,"3,000.00",54.77,"6,572.67",,0.00%,0,0
AcreInvest,100,100,"1,000.00",31.62,"3,794.73",18,100.00%,"2,203","26,436"
JustinCase,100,100,38.41,6.2,743.7,,100.00%,744,"8,928"
GFX Labs,100,100,26.48,5.15,617.56,,100.00%,618,"7,416"
,,,,,,,,,
Total,,,"44,238.81",,"64,845.98",,,"48,162","577,944"
