Month,January,,,,,,,,
Days in Month,31,,,,,,,,
Month Number,1,,,,,,,,
,,,,,,,,,
Delegate,Flip Flop Flap Delegate LLC,ultraschuppi,Feedblack Loops LLC,MakerMan,monetsupply,Gauntlet,ACREinvest,JustinCase,GFX Labs
Day of Month,,,,,,,,,
01/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,27.77239584
02/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,27.77239584
03/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,27.77239584
04/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,27.77239584
05/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
06/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
07/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
08/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
09/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
10/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
11/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
12/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
13/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
14/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
15/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
16/01/2022,32879.60876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
17/01/2022,32912.06876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
18/01/2022,32912.06876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
19/01/2022,32912.06876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
20/01/2022,32912.06876,20244.66529,10102.26015,5231.024877,5043.673187,3000,1000,54.04476354,28.62940684
21/01/2022,32912.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,54.04476354,28.62940684
22/01/2022,32912.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,54.04476354,28.62940684
23/01/2022,32912.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,54.04476354,28.62940684
24/01/2022,32893.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,54.04476354,28.62940684
25/01/2022,32893.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,54.04476354,28.62940684
26/01/2022,32893.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,54.04476354,28.62940684
27/01/2022,32893.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,59.4455943,28.62940684
28/01/2022,32893.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,59.4455943,28.62940684
29/01/2022,32893.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,59.4455943,28.62940684
30/01/2022,32893.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,59.4455943,28.62940684
31/01/2022,32893.06876,20244.66529,10102.26015,5031.024877,5043.673187,3000,1000,59.4455943,30.24159684
,,,,,,,,,
Average (Max 10k),10000,10000,10000,5160.057136,5043.673187,3000,1000,54.91586527,28.5708309
