Year,2022,,,,,,,,
Month,February,,,,,,,,
Period Start,01/02/2022,,,,,,,,
Period End,28/02/2022,,,,,,,,
Days in Month,28,,,,,,,,
Number of Delegates,9,,,,,,,,
Max. Comp This Month,"108,000",,,,,,,,
,,,,,,,,,
Delegate,Participation %,Communication %,Average MKR for month,Adjusted MKR,Theoretical Monthly Comp,Days (if Pro-rata),Metrics Modifier,Final Monthly Sum,Annualised
Flip Flop Flap Delegate LLC,100,100,"10,000.00",100,"12,000.00",,100.00%,"12,000","144,000"
ultraschuppi,100,100,"10,000.00",100,"12,000.00",,100.00%,"12,000","144,000"
Feedblack Loops LLC,92.26,98.95,"10,000.00",100,"12,000.00",,100.00%,"12,000","144,000"
MakerMan,93.2,94.49,"5,031.02",70.93,"8,511.57",,100.00%,"8,512","102,144"
monetsupply,79.74,80.17,"5,139.00",71.69,"8,602.41",,58.96%,"5,072","60,864"
Gauntlet,44.62,98.28,"3,000.00",54.77,"6,572.67",,0.00%,0,0
AcreInvest,95.83,96.74,"2,928.57",54.12,"6,493.95",,100.00%,"6,494","77,928"
JustinCase,100,100,59.64,7.72,926.73,,100.00%,927,"11,124"
GFX Labs,100,100,30.24,5.5,659.91,,100.00%,660,"7,920"
,,,,,,,,,
Total,,,"46,188.47",,"67,767.25",,,"57,665","691,980"
