Month,March,,,,,,,,,,,
Days in Month,31,,,,,,,,,,,
Month Number,3,,,,,,,,,,,
,,,,,,,,,,,,
Delegate,Flip Flop Flap Delegate LLC,ultraschuppi,Feedblack Loops LLC,monetsupply,MakerMan,Gauntlet,ACREinvest,JustinCase,GFX Labs,Doo,Hasu,Flipside Crypto
Day of Month,,,,,,,,,,,,
01/03/2022,17893.06876,15244.66529,10094.58307,8286.311672,8031.024877,6000,6000,3062.188164,3030.241597,0,0,0
02/03/2022,17893.06876,15244.66529,10094.58307,8286.311672,8031.024877,6000,6000,3062.188164,3030.241597,0,0,0
03/03/2022,17893.06876,15244.66529,10094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3030.241597,0,0,0
04/03/2022,17893.06876,15244.66529,10094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3030.241597,0,0,0
05/03/2022,17858.93784,15244.66529,10094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3030.241597,8.575632157,0,0
06/03/2022,17858.93784,15244.66529,10094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3030.241597,8.575632157,0,0
07/03/2022,17858.93784,15244.66529,10094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3030.241597,8.575632157,0,0
08/03/2022,17858.93784,15244.66529,10094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3030.241597,8.575632157,0,0
09/03/2022,17858.93784,15244.66529,10094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3030.241597,8.575632157,0,0
10/03/2022,17858.93784,15237.69433,10094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3030.241597,8.575632157,0,0
11/03/2022,17858.93784,15137.66115,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3030.241597,8.575632157,0,0
12/03/2022,17858.93784,15137.66115,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,0,0
13/03/2022,17858.93784,15137.66115,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,0,0
14/03/2022,17858.93784,15137.66115,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,3188.771337,0
15/03/2022,17858.93784,15137.66115,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,3188.771337,0
16/03/2022,17858.93784,15137.66115,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,3188.771337,0
17/03/2022,17858.93784,15137.66115,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,3545.279464,0
18/03/2022,17858.93784,15137.66115,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,3545.279464,0
19/03/2022,17858.93784,15137.66115,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,3545.279464,0
20/03/2022,17858.93784,15137.66115,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,3545.279464,0
21/03/2022,17858.93784,15134.34919,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,6167.325126,0
22/03/2022,17858.93784,15134.34919,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,6167.325126,0
23/03/2022,17858.93784,15134.35919,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,6167.325126,0
24/03/2022,17858.93784,15134.35919,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,6167.325126,4.87398
25/03/2022,17858.93784,15134.35919,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,6167.325126,4.87398
26/03/2022,17858.93784,15134.35919,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,6167.325126,4.87398
27/03/2022,17858.93784,15134.35919,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,6167.325126,4.87398
28/03/2022,17858.93784,15134.35919,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,6167.325126,4.87398
29/03/2022,17858.93784,15134.35919,11094.58307,8286.311672,8042.685337,6000,6000,3062.188164,3031.000465,8.575632157,5160.325126,4.87398
30/03/2022,17858.93784,15134.35919,11094.58307,8286.311672,8042.685337,6000,6000,3062.19045,3031.000465,8.575632157,6080.171939,4.87398
31/03/2022,17858.93784,15134.35919,11094.58307,8286.311672,8042.685337,6000,6000,3062.19045,3031.000465,8.575632157,6080.171939,4.87398
,,,,,,,,,,,,
Average (Max 10k),10000,10000,10000,8286.311672,8041.933049,6000,6000,3062.188312,3030.731189,8.575632157,5022.594549,4.87398
