Year,2022,,,,,,,,
Month,March,,,,,,,,
Period Start,01/03/2022,,,,,,,,
Period End,31/03/2022,,,,,,,,
Days in Month,31,,,,,,,,
Number of Delegates,12,,,,,,,,
Max. Comp This Month,"144,000",,,,,,,,
,,,,,,,,,
Delegate,Participation %,Communication %,Average MKR for month,Adjusted MKR,Theoretical Monthly Comp,Days (if Pro-rata),Metrics Modifier,Final Monthly Sum,Annualised
Flip Flop Flap Delegate LLC,100,100,"10,000.00",100,"12,000.00",,100.00%,"12,000","144,000"
ultraschuppi,100,100,"10,000.00",100,"12,000.00",,100.00%,"12,000","144,000"
Feedblack Loops LLC,93.1,98.46,"10,000.00",100,"12,000.00",,100.00%,"12,000","144,000"
MakerMan,94.12,94.38,"8,041.93",89.68,"10,761.22",,100.00%,"10,761","129,132"
monetsupply,82.39,82.76,"8,286.31",91.03,"10,923.50",,69.56%,"7,598","91,176"
Gauntlet,57.78,95.74,"6,000.00",77.46,"9,295.16",,0.00%,0,0
AcreInvest,97.22,97.86,"6,000.00",77.46,"9,295.16",,100.00%,"9,295","111,540"
Hasu,6.25,0,"5,022.59",70.87,"8,504.43",18,0.00%,0,0
JustinCase,100,100,"3,062.19",55.34,"6,640.45",,100.00%,"6,640","79,680"
GFX Labs,100,100,"3,030.73",55.05,"6,606.25",,100.00%,"6,606","79,272"
Doo,100,100,8.58,2.93,351.41,25,100.00%,283,"3,396"
Flipside Crypto,71.23,100,4.87,2.21,264.93,8,0.00%,0,0
,,,,,,,,,
Total,,,"69,457.21",,"98,642.50",,,"77,183","926,196"
