Delegate,Address,Amount (DAI),Notes,Concantenate
Flip Flop Flap Delegate LLC,0x688d508f3a6B0a377e266405A1583B3316f9A2B3,12000,,Flip Flop Flap Delegate LLC - 12000 DAI - 0x688d508f3a6B0a377e266405A1583B3316f9A2B3
Feedblack Loops LLC,0x80882f2A36d49fC46C3c654F7f9cB9a2Bf0423e1,12000,,Feedblack Loops LLC - 12000 DAI - 0x80882f2A36d49fC46C3c654F7f9cB9a2Bf0423e1
ultraschuppi,0xCCffDBc38B1463847509dCD95e0D9AAf54D1c167,12000,,ultraschuppi - 12000 DAI - 0xCCffDBc38B1463847509dCD95e0D9AAf54D1c167
MakerMan,0x9AC6A6B24bCd789Fa59A175c0514f33255e1e6D0,10761,,MakerMan - 10761 DAI - 0x9AC6A6B24bCd789Fa59A175c0514f33255e1e6D0
ACREInvest,0x5b9C98e8A3D9Db6cd4B4B4C1F92D0A551D06F00D,9295,,ACREInvest - 9295 DAI - 0x5b9C98e8A3D9Db6cd4B4B4C1F92D0A551D06F00D
monetsupply,0x4Bd73eeE3d0568Bb7C52DFCad7AD5d47Fff5E2CF,7598,,monetsupply - 7598 DAI - 0x4Bd73eeE3d0568Bb7C52DFCad7AD5d47Fff5E2CF
JustinCase,0xE070c2dCfcf6C6409202A8a210f71D51dbAe9473,6640,,JustinCase - 6640 DAI - 0xE070c2dCfcf6C6409202A8a210f71D51dbAe9473
GFX Labs,0xa6e8772af29b29B9202a073f8E36f447689BEef6,6606,,GFX Labs - 6606 DAI - 0xa6e8772af29b29B9202a073f8E36f447689BEef6
Doo,0x3B91eBDfBC4B78d778f62632a4004804AC5d2DB0,283,,Doo - 283 DAI - 0x3B91eBDfBC4B78d778f62632a4004804AC5d2DB0
Gauntlet,0xD20c9667bf0047F313228F9fE11F8b9F8Dc29bBa,0,,Gauntlet - 0 DAI - 0xD20c9667bf0047F313228F9fE11F8b9F8Dc29bBa
Flipside Crypto,0x62a43123FE71f9764f26554b3F5017627996816a,0,,Flipside Crypto - 0 DAI - 0x62a43123FE71f9764f26554b3F5017627996816a
Hasu,,0,,Hasu - 0 DAI - 
